Camera,UTM_E,UTM_N,Latitude,longitude
ISRB-05,451383,4224015,38.162722,128.445028
ISRB-06,451898,4223997,38.162583,128.450917
ISRB-09,453373,4223991,38.162611,128.46775
ISRB-12,451408,4224514,38.167222,128.445278
ISRB-13,451887,4224524,38.167333,128.45075
ISRB-14,452407,4224499,38.167139,128.456694
ISRB-15,452914,4224505,38.167222,128.462472
ISRB-16,453388,4224466,38.166889,128.467889
ISRB-17,453891,4224482,38.167058,128.473628
ISRB-21,451406,4225020,38.171778,128.445222
ISRB-22,451899,4224998,38.171611,128.450861
ISRB-24,452907,4224989,38.171583,128.462361
ISRB-25,453410,4224993,38.171639,128.468111
ISRB-27,454402,4224941,38.171222,128.479433
ISRB-30,451413,4225504,38.176139,128.445278
ISRB-31,451912,4225510,38.176222,128.450972
ISRB-32,452408,4225495,38.176111,128.456639
ISRB-33,452912,4225476,38.175972,128.462389
ISRB-34,453411,4225495,38.176167,128.468083
ISRB-35,453921,4225446,38.17575,128.473908
ISRB-36,454406,4225436,38.175689,128.47945
ISRB-40,451935,4225997,38.180611,128.451194
ISRB-41,452421,4225991,38.180583,128.45675
ISRB-42,452913,4225988,38.180583,128.462361
ISRB-43,453411,4225967,38.180417,128.468056
ISRB-44,453929,4225963,38.180408,128.473969
ISRB-45,454422,4225956,38.180369,128.4796
